Line Item	Price	Unit	HSN	Applicable Site(s)	Site Count	Source PO/Invoice Count	Example Source File	App Display Name
FEATHER BRUSH	40	PCS	3926	ETPL THANE, NOIDA, SIGMA 2ND FLOOR, SIGMA 7TH FLOOR	4	4	Hk Mumbai/PARSVATECH JULY26 ETPL (1).pdf	FEATHER BRUSH — ₹40
FEVI KWICK SMALL	4.2	PCS	3506	SIGMA 2ND FLOOR, SIGMA 7TH FLOOR	2	2	Hk Mumbai/PARSVATECH JULY26 SIGMA 2ND FLOOR (1).pdf	FEVI KWICK SMALL — ₹4.2
FEVIKWIK SMALL	3.88	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	FEVIKWIK SMALL
FEVIKWIK SMALL [NOS] | HSN 3506	3.88	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	FEVIKWIK SMALL [NOS] | HSN 3506
FEVISTICK 15GM 3M	35	PCS	35061000	NOIDA, SIGMA 2ND FLOOR, SIGMA 7TH FLOOR	3	3	Hk Mumbai/PARSVATECH JULY26 SIGMA 2ND FLOOR (1).pdf	FEVISTICK 15GM 3M — ₹35
FLOOR WIPER 21 inch [NOS] | HSN 96039000	160.5	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	FLOOR WIPER 21 inch [NOS] | HSN 96039000
FLOOR WIPER 21''	160	PCS		AMR Tech Park	1	1	Stepier - Banglore.pdf	FLOOR WIPER 21''
FLOOR WIPER 21''	160.5	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	FLOOR WIPER 21''
FLOOR WIPPER	120	PCS	9603	NOIDA, SIGMA 2ND FLOOR, SIGMA 7TH FLOOR	3	3	Hk Mumbai/PARSVATECH JULY26 SIGMA 2ND FLOOR (1).pdf	FLOOR WIPPER — ₹120
FLY INSECT KILLING MACHINE LAMPSET	3850	SET	4820	NRK STAR INDORE	1	1	Hk Mumbai/PARSVATECH JULY26 INSECT INVOICE (1).pdf	FLY INSECT KILLING MACHINE LAMPSET
FORKS SS STEEL	35	PCS	3924	D WING	1	1	Hk Mumbai/PARSVATECH JULY26 D WING.pdf	FORKS SS STEEL
Face Mask Blue	1.46	PCS		SS Plaza	1	2	Stepier - Banglore.pdf	Face Mask Blue
Face Mask Blue [NOS] | HSN 63029300 | CHANGE TO GST 5pct	1.46	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	Face Mask Blue [NOS] | HSN 63029300 | CHANGE TO GST 5pct
Fevicol 500 Gm [NOS] | HSN 35061000	100	CAN		SS Plaza	1	1	Stepier - Banglore.pdf	Fevicol 500 Gm [NOS] | HSN 35061000
Fevicol SR 998	560	CAN		AMR Tech Park	1	1	Stepier - Banglore.pdf	Fevicol SR 998
First Aid Box	650	BOX		SS Plaza	1	2	Stepier - Banglore.pdf	First Aid Box
Floor Duster (32*32) (FS)	30	PCS		Mahindra Finance - Delhi	1	1	FCGC- Delhi.pdf	Floor Duster (32*32) (FS)
Floor Wiper 21 inch	160.5	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	Floor Wiper 21 inch
GARBAGE BAG BLACK (32*42) (FS)	95	ROLL		Mahindra Finance - Delhi	1	3	FCGC- Delhi.pdf	GARBAGE BAG BLACK (32*42) (FS)
